cp1;cp2;REF;email;sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check;;;;;;;;;;;
A;1;1;;F;24;si;3;33.7546;347.3093;10.4335;12.1336;486.661;59;1;;;;;;;;;;;
A;2;2;;F;24;si;2;33.2288;336.9458;10.8814;9.3648;434.2955;50;6;;;;;;;;;;;
A;3;3;;F;22;si;1;67.6089;328.1303;9.2636;7.7313;469.9609;69;1;;;;;;;;;;;
B;4;5;;M;27;si;2;138.8366;265.2705;44.5247;9.0483;537.1056;40;7;;;;;;;;;;;
A;5;6;;F;25;si;1;49.9709;216.1573;24.4627;13.8218;385.2059;70;2;;;;;;;;;;;
B;6;7;;F;23;si;4;86.7194;272.9303;23.9412;12.2092;475.8435;80;6;;;;;;;;;;;
A;7;8;;F;22;si;4;31.2914;314.8268;20.88;7.563;495.3863;75;5;;;;;;;;;;;
B;8;9;;M;23;si;3;84.2352;626.6569;49.5993;9.107;862.6495;68;1;;;;;;;;;;;
A;9;10;;M;30;si;4;70.1529;257.2609;27.5768;7.2567;428.5316;70;6;;;;;;;;;;;
B;10;11;;M;30;si;3;49.5101;228.4671;36.3347;18.2479;594.2911;80;1;;;;;;;;;;;
A;11;12;;F;56;si;2;97.3866;325.853;19.3457;18.5656;590.8228;67;7;;;;;;;;;;;
B;12;13;;F;20;si;1;43.2571;227.7736;13.8411;9.8272;355.4767;76;1;;;;;;;;;;;
A;13;14;;M;40;si;3;75.3063;210.5026;26.9205;14.0991;411.9334;50;2;;;;;;;;;;;
B;14;15;;F;24;si;1;47.499;217.2077;15.0069;9.431;380.2691;80;1;;;;;;;;;;;
A;15;16;;F;22;si;4;49.006;307.7503;24.7611;12.5379;472.7301;70;1;;;;;;;;;;;
A;16;17;;F;23;si;2;52.3022;237.2003;10.2761;7.29;385.7797;85;6;;;;;;;;;;;
B;17;18;;M;26;si;1;58.1235;226.1438;17.5563;13.1055;400.6967;60;2;;;;;;;;;;;
A;18;19;;M;27;si;3;53.1228;194.7969;10.7976;4.5655;310.3368;52;1;;;;;;;;;;;
B;19;20;;F;24;si;4;49.115;218.1501;16.5926;11.9953;358.6938;73;6;;;;;;;;;;;
A;20;21;;M;24;si;2;41.3338;245.4235;22.5662;7.4333;389.3348;50;1;;;;;;;;;;;
B;21;22;;M;25;si;3;29.2934;212.1161;9.8525;7.1856;355.148;67;2;;;;;;;;;;;
A;22;23;;M;27;si;2;41.182;263.179;18.0209;9.5355;384.4609;41;5;;;;;;;;;;;
B;23;24;;F;19;si;1;52.9152;333.4217;7.3327;7.9328;461.4683;83;1;;;;;;;;;;;
A;24;25;;M;22;si;4;51.9477;220.6054;16.8987;10.8544;354.469;82;6;;;;;;;;;;;
B;25;27;;M;22;no;3;5.1321;184.9715;13.4709;7.7323;249.9679;77;1;;;;;;;;;;;
A;26;28;;M;43;si;4;114.1862;304.0158;32.0233;8.8331;559.497;50;7;;;;;;;;;;;
B;27;31;;M;28;si;2;3.2012;291.0818;18.7576;6.4191;354.6063;15;6;;;;;;;;;;;
A;28;32;;M;26;si;2;61.311;250.471;64.344;9.258;432.323;80;6;;;;;;;;;;;
A;29;33;;M;25;si;1;38.169;220.095;20.287;9.642;386.36;73;1;;;;;;;;;;;
B;30;34;;F;22;si;4;34.8548;190.6501;6.7933;5.6144;288.9576;63;5;;;;;;;;;;;
A;31;37;;M;30;si;3;41.147;222.357;15.876;6.101;334.23;75;1;;;;;;;;;;;
B;32;38;;F;23;si;1;76.504;312.639;12.984;12.682;502.914;74;1;;;;;;;;;;;
A;33;39;;F;22;si;3;38.485;221.202;21.268;7.85;332.128;50;2;;;;;;;;;;;
B;34;40;;F;21;si;2;126.952;271.0958;40.6837;7.8325;538.5211;50;7;;;;;;;;;;;
A;35;43;;F;25;si;3;52.6934;215.1913;36.6486;5.1689;376.1883;89;1;;;;;;;;;;;
B;36;45;;F;24;si;4;79.9804;236.3025;21.148;19.015;429.1426;90;6;;;;;;;;;;;
A;37;46;;M;19;si;2;129.214;304.31;21.499;8.581;537.406;10;5;;;;;;;;;;;
B;38;47;;M;23;si;3;39.5322;284.6662;20.8822;9.9489;417.0366;66;1;;;;;;;;;;;
A;39;48;;F;19;si;1;56.9709;493.562;40.9222;8.4407;666.2389;57;5;;;;;;;;;;;
B;40;49;;F;24;si;4;46.243;201.0733;19.2802;8.1817;332.6195;67;5;;;;;;;;;;;
A;41;50;;M;25;si;2;127.611;303.609;63.044;16.221;619.183;65;5;;;;;;;;;;;
A;42;54;;M;65;si;4;18.0485;287.5552;25.3328;11.166;414.1654;76;2;;;;;;;;;;;
B;43;55;;M;24;si;1;40.417;209.771;12.318;5.167;324.847;29;2;;;;;;;;;;;
A;44;57;;M;27;si;2;48.4546;233.7512;42.7593;8.0417;393.9362;10;5;;;;;;;;;;;
B;45;58;;F;47;si;3;37.247;230.032;26.041;11.521;360.963;80;1;;;;;;;;;;;
A;46;60;;F;22;si;1;62.9105;209.0394;10.0294;11.3285;355.735;48;6;;;;;;;;;;;
B;47;61;;F;22;si;4;91.8639;314.8144;54.7813;10.5659;543.9595;60;5;;;;;;;;;;;
A;48;62;;F;25;si;2;83.245;275.892;22.917;9.893;455.811;57;6;;;;;;;;;;;
B;49;67;;M;39;si;2;40.3332;217.5157;7.6172;8.2322;311.7042;83;5;;;;;;;;;;;
A;50;68;;M;41;si;1;47.7553;230.9762;23.8607;13.7952;389.6407;37;1;;;;;;;;;;;
B;51;69;;F;70;si;4;76.647;318.2399;23.9599;10.3035;527.5914;83;1;;;;;;;;;;;
A;52;70;;M;24;si;2;115.2818;363.9249;90.0932;9.7451;687.3473;80;5;;;;;;;;;;;
B;53;71;;M;66;si;1;69.6996;298.8705;34.8076;14.0777;493.3217;65;1;;;;;;;;;;;
A;54;72;;F;20;si;1;55.204;232.3279;35.5123;23.458;461.5181;80;1;;;;;;;;;;;
A;55;73;;F;20;si;3;56.2303;206.6024;12.0881;9.9235;341.4575;85;2;;;;;;;;;;;
