cp1;cp2;REF;Prolific ID (obscured);sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check
A;1;1;;F;30;si;1;100.6007;245.8615;26.92;11.0383;426.6428;63;6
A;2;2;;F;35;si;1;90.2979;221.1818;21.0321;8.5157;386.0331;76;5
A;3;3;;M;23;si;1;107.1577;173.9755;17.812;9.4442;346.2846;37;6
B;4;5;;M;36;si;1;64.6001;201.2716;6.2496;8.2169;312.4288;67;7
A;5;6;;F;27;si;1;46.3291;225.889;9.5012;9.1397;332.3579;35;1
B;6;7;;F;24;si;1;124.2468;229.6367;16.7331;8.6517;426.7343;20;6
A;7;8;;F;29;si;1;215.5963;343.0306;34.266;10.8164;736.0576;76;7
B;8;9;;F;28;si;1;171.4777;232.2148;21.1653;15.2659;535.2036;73;6
A;9;10;;M;24;si;1;166.2017;222.2205;24.1997;47.9671;589.228;75;1
;;;;;;no;1;;;;;;;
;;;;;;no;1;;;;;;;
B;12;13;;M;40;si;1;381.79;506.946;90.967;47.433;1259.904;63;3
A;13;14;;M;31;si;1;40.0882;212.7518;21.4526;5.7671;317.5564;10;1
B;14;15;;F;28;si;1;176.5865;298.7046;42.4484;8.1419;589.3875;72;6
A;15;16;;F;33;si;1;41.805;235.165;16.339;9.906;352.465;70;2
A;16;17;;M;24;si;1;77.587;626.204;39.019;14.985;890.966;85;4
B;17;18;;F;34;si;1;46.1056;239.1424;12.1135;6.7478;354.9239;58;1
A;18;19;;M;30;si;1;204.183;429.543;64.198;15.218;779.471;60;3
B;19;20;;F;32;si;1;68.3147;319.9538;15.8089;10.5376;475.4589;64;5
A;20;21;;F;25;si;1;159.0232;332.6062;17.1119;4.2763;576.7905;81;6
B;21;22;;M;31;si;1;284.17;289.817;17.58;6.681;686.228;73;5
A;22;23;;M;30;si;1;46.142;213.379;20.106;6.529;333.256;5;1
B;23;24;;M;20;si;1;50.293;245.631;17.896;10.742;370.311;25;3
A;24;25;;M;25;si;1;21.6966;304.9732;32.4525;10.901;304.9732;39;6
B;25;27;;F;26;si;1;174.2765;254.086;16.2665;8.5014;517.5426;76;3
A;26;28;;F;32;si;1;150.9858;259.6976;51.8349;19.6708;743.7251;75;6
B;27;31;;F;23;si;1;65.4864;383.9335;8.6259;7.1288;517.5199;47;7
A;28;32;;F;54;si;1;104.629;228.683;19.516;8.36;428.805;60;6
A;29;33;;F;30;si;1;144.9223;234.7491;20.5826;9.092;451.3903;82;5
B;30;34;;F;21;si;1;55.098;300.9489;15.1152;10.1995;456.9925;51;6
A;31;37;;F;23;si;1;56.4059;189.7024;13.6301;4.6716;339.9207;30;3
B;32;38;;M;23;si;1;50.7875;217.8821;7.2356;8.2277;312.5581;87;1
A;33;39;;F;23;si;1;33.1329;199.6255;10.3832;4.5164;362.0265;50;5
B;34;40;;M;62;si;1;125.265;303.2444;16.343;13.038;530.0746;50;4
A;35;43;;M;41;si;1;75.1168;208.0196;8.27;5.1727;334.2891;55;6
B;36;45;;M;26;si;1;69.0151;275.9115;36.6602;7.5923;456.4412;21;1
A;37;46;;M;23;si;1;91.7905;227.6058;21.2794;20.1301;422.4643;10;4
B;38;47;;F;27;si;1;106.9776;175.2926;9.345;11.2358;338.7454;63;7
A;39;48;;F;20;si;1;69.1262;242.4099;20.9753;8.7463;374.3189;75;5
B;40;49;;F;27;si;1;104.3023;217.1718;23.4275;6.3391;405.8453;84;6
A;41;50;;M;52;si;1;118.5216;421.7943;53.4763;14.7611;678.6829;54;5
A;42;54;;F;44;si;1;40.2493;256.0482;11.833;7.8998;373.3731;50;1
B;43;55;;F;50;si;1;226.1283;256.2026;21.2347;20.8516;613.744;49;6
A;44;57;;F;41;si;1;62.917;243.376;32.674;15.111;403.407;60;2
B;45;58;;M;28;si;1;87.8178;250.6262;32.0331;7.2995;421.8058;70;2
A;46;60;;F;43;si;1;58.8392;249.7364;18.5405;9.6343;389.8013;80;4
B;47;61;;F;22;si;1;114.7172;178.1555;8.1492;8.8022;335.6774;71;7
A;48;62;;M;29;si;1;98.5631;215.0492;33.7871;19.0832;395.5291;80;6
B;49;67;;F;32;si;1;81.798;234.3996;14.0325;7.3657;367.1297;59;5
A;50;68;;F;41;si;1;30.5886;339.5955;8.4868;10.4892;423.5042;50;1
B;51;69;;M;63;si;1;64.078;221.141;19.512;8.868;346.794;64;2
A;52;70;;M;58;si;1;55.0168;310.0079;21.3587;8.5047;446.3019;40;1
B;53;71;;F;54;si;1;266.229;290.5862;111.8812;35.4825;835.8622;40;6
A;54;72;;F;21;si;1;62.9965;323.2393;17.2563;21.4972;472.7202;61;5
A;55;73;;M;21;si;1;38.3003;278.1934;10.8379;10.5381;371.1371;70;6
B;56;76;;M;26;si;1;61.5813;210.3238;11.3898;4.8683;304.2;65;6
A;57;78;;M;24;si;1;82.4702;303.6686;22.9379;12.0619;502.9968;30;2
B;58;79;;M;29;si;1;43.6804;240.6339;15.4489;5.7328;480.4328;90;1
A;59;81;;M;27;si;1;383.8253;302.7819;15.3733;10.18;779.8077;72;7
B;60;82;;M;22;si;1;57.2911;273.6866;33.8464;7.6869;494.5655;68;4
A;61;83;;F;26;si;1;127.2346;241.2874;23.1322;6.7984;459.0641;40;6
B;62;88;;M;22;si;1;44.67;240.28;12.751;5.615;349.973;55;6
A;63;89;;F;21;si;2;112.7982;262.4163;28.0025;7.7783;471.2617;80;6
B;64;84;;F;49;si;2;98.501;219.315;22.849;6.116;401.301;80;6
A;65;85;;F;42;si;2;41.2142;191.1328;20.3728;6.7716;302.8664;70;1
B;66;74;;F;31;si;2;44.1008;218.5421;19.385;4.3112;314.4163;66;6
A;67;91;;M;38;si;2;55.482;234.623;12.949;8.901;343.057;86;6
A;68;92;;F;23;si;2;109.717;202.487;11.65;11.574;370.035;80;4
